tree_num,direction,tpz_m,tpz_circle_m,cx,cy,trunk_mm
1,Injury,12.00,12.00,400.61,-171.81,2.00
2,Injury,10.00,10.00,339.40,-173.85,2.00
3,Remove,,10.00,236.62,-213.01,2.00
4,Protect,4.00,4.00,182.26,-179.53,2.00
5,Remove,,4.00,123.50,-138.05,2.00
6,Remove,,4.00,80.68,-103.65,2.00
7,Remove,,8.00,46.72,-65.37,2.00
8,Remove,,6.00,246.76,-7.17,2.00
9,Remove,,4.00,297.34,-47.05,2.00
10,Remove,,14.00,260.62,-96.01,2.00
11,Retain,10.00,10.00,503.62,-38.65,2.00
12,Retain,6.00,6.00,538.54,-52.69,2.00
13,Retain,6.00,6.00,545.14,-76.33,2.00
14,Retain,10.00,10.00,500.02,-113.77,2.00
15,Retain,10.00,10.00,575.68,-184.77,2.00
16,Retain,12.00,12.00,545.86,-257.05,2.00
17,Protect,4.00,4.00,-473.00,-65.61,2.00
18,Remove,,8.00,-468.50,-10.66,2.00
19,Remove,,12.00,-395.60,-195.45,2.00
20,Remove,,10.00,-293.00,-197.37,2.00
21,Injury,6.00,6.00,-290.84,-221.13,2.00
22,Protect,12.00,12.00,-293.66,-272.41,2.00
23,Injury,6.00,6.00,-490.76,84.75,2.00
24,Injury,6.00,6.00,-465.44,79.35,2.00
25,Protect,6.00,6.00,-421.88,80.31,2.00
26,Injury,8.00,8.00,-399.08,80.43,2.00
27,Injury,10.00,10.00,-293.96,77.19,2.00
28,Injury,10.00,10.00,-276.38,76.67,2.00
29,Injury,10.00,10.00,-219.56,77.07,2.00
30,Protect,6.00,6.00,-14.54,83.75,2.00
31,Injury,10.00,10.00,101.02,76.79,2.00
32,Protect,6.00,6.00,168.34,82.91,2.00
33,Protect,8.00,8.00,192.16,82.59,2.00
41,Protect,10.00,10.00,199.36,64.84,2.00
42,Injury,8.00,8.00,209.70,58.82,2.00
43,Injury,6.00,6.00,264.30,91.40,2.00
44,Protect,8.00,8.00,505.58,-426.07,2.00
45,Injury,8.00,8.00,475.14,-418.96,2.00
46,Injury,6.00,6.00,460.78,-418.58,2.00
47,Protect,6.00,6.00,435.60,-431.01,2.00
48,Injury,6.00,6.00,413.60,-430.01,2.00
49,Injury,8.00,8.00,313.94,-438.73,2.00
50,Injury,8.00,8.00,291.75,-440.52,2.00
51,Injury,6.00,6.00,273.56,-443.11,2.00
52,Injury,10.00,10.00,253.85,-445.64,2.00
53,Injury,8.00,8.00,239.91,-446.74,2.00
54,Injury,8.00,8.00,227.60,-448.01,2.00
55,Injury,8.00,8.00,198.98,-448.63,2.00
56,Injury,6.00,6.00,187.22,-451.10,2.00
57,Protect,6.00,6.00,172.82,-453.36,2.00
58,Injury,14.00,14.00,175.60,-408.01,2.00
59,Injury,14.00,14.00,173.56,-391.80,2.00
60,Injury,12.00,12.00,167.67,-362.68,2.00
61,Injury,10.00,10.00,167.67,-332.68,2.00
62,Injury,12.00,12.00,171.67,-298.68,2.00
63,Injury,12.00,12.00,163.67,-283.68,2.00
64,Injury,6.00,6.00,123.47,-276.77,2.00
65,Injury,10.00,10.00,88.80,-277.69,2.00
66,Injury,8.00,8.00,62.64,-280.99,2.00
67,Injury,6.00,6.00,12.02,-282.14,2.00
68,Injury,6.00,6.00,-29.94,-283.10,2.00
69,Injury,10.00,10.00,-67.50,-281.61,2.00
70,Injury,10.00,10.00,-87.97,-280.03,2.00
71,Injury,8.00,8.00,-110.17,-283.56,2.00
72,Injury,12.00,12.00,-126.06,-291.17,2.00
